MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
367763340,2017-01-01T00:18:14,46.57288,-124.25291,5.6,0.1,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:19:24,46.57475,-124.25264,6.3,9.5,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:20:25,46.57635,-124.25236,6.0,1.3,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:21:27,46.57796,-124.25215,5.4,-54.8,511.0,,,,,under way using engine,,,,
367154100,2017-01-01T00:16:45,46.77582,-124.92924,7.6,-51.1,347.0,,,,,undefined,,,,
367154100,2017-01-01T00:17:55,46.77826,-124.92911,6.8,2.7,355.0,,,,,undefined,,,,
357247000,2017-01-01T00:10:23,46.79462,-124.28508,17.4,179.6,180.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:13:36,46.77921,-124.28528,17.4,180.2,180.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:06:12,46.81427,-124.28420,16.3,187.6,186.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:09:22,46.79991,-124.28502,17.2,180.9,180.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:14:37,46.77451,-124.28530,17.5,180.1,181.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:17:52,46.75860,-124.28533,17.3,180.2,180.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
303636000,2017-01-01T00:22:33,47.65892,-122.38073,0.0,146.7,180.0,,,,,under way using engine,,,,
367154100,2017-01-01T00:19:05,46.78055,-124.92903,7.5,-51.3,353.0,,,,,undefined,,,,
367154100,2017-01-01T00:20:25,46.78323,-124.92889,7.1,-55.8,351.0,,,,,undefined,,,,
367154100,2017-01-01T00:21:27,46.78519,-124.92877,7.5,0.7,1.0,,,,,undefined,,,,
367763340,2017-01-01T00:22:32,46.57971,-124.25184,4.8,20.4,511.0,,,,,under way using engine,,,,
367154100,2017-01-01T00:23:49,46.78987,-124.92833,7.2,2.5,354.0,,,,,undefined,,,,
636014073,2017-01-01T00:10:04,48.50510,-124.79403,10.2,-146.6,265.0,MOONLIGHT SERENADE,IMO9392810,A8RD2,1004,under way using engine,171.59,27,10.4,79
636014073,2017-01-01T00:16:44,48.50340,-124.82148,9.6,-146.6,267.0,MOONLIGHT SERENADE,IMO9392810,A8RD2,1004,under way using engine,171.59,27,10.4,79
367154100,2017-01-01T00:22:44,46.78778,-124.92857,7.0,-51.2,351.0,,,,,undefined,,,,
367143460,2017-01-01T00:17:04,37.79794,-122.39445,0.1,46.5,511.0,SAN FRANCISCO SPIRIT,,WDD4339,69,moored,45,14,2.5,69
367763340,2017-01-01T00:23:33,46.58123,-124.25160,5.3,15.0,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:24:43,46.58303,-124.25133,5.7,-57.2,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:25:44,46.58447,-124.25109,4.8,13.9,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:26:53,46.58630,-124.25092,5.5,9.6,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:27:54,46.58790,-124.25063,5.2,0.8,511.0,,,,,under way using engine,,,,
367154100,2017-01-01T00:24:55,46.79213,-124.92827,7.7,3.0,353.0,,,,,undefined,,,,
367154100,2017-01-01T00:25:56,46.79415,-124.92807,7.2,-51.7,345.0,,,,,undefined,,,,
367763340,2017-01-01T00:29:03,46.58967,-124.25040,5.4,2.7,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:30:06,46.59123,-124.25020,6.8,8.5,511.0,,,,,under way using engine,,,,
367154100,2017-01-01T00:27:05,46.79641,-124.92807,6.9,0.4,353.0,,,,,undefined,,,,
367763340,2017-01-01T00:31:12,46.59302,-124.24992,5.7,-63.9,511.0,,,,,under way using engine,,,,
316009844,2017-01-01T00:28:02,49.18233,-122.91773,0.0,46.8,511.0,WESTMINSTER HUNTER,,,52,undefined,,,,52
548893000,2017-01-01T00:32:22,45.67748,-122.77044,0.1,46.7,190.0,,,,,at anchor,,,10.8,
311579000,2017-01-01T00:13:34,37.75083,-122.35167,0.0,-146.6,172.0,ASIAN SPIRIT,IMO9247431,C6FW6,1024,at anchor,269.2,45.74,17.5,81
367350050,2017-01-01T00:33:23,37.82231,-122.41715,9.0,146.8,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:32:13,46.59458,-124.24968,5.0,-56.8,511.0,,,,,under way using engine,,,,
357247000,2017-01-01T00:21:04,46.74290,-124.28539,17.1,179.6,181.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:23:11,46.73283,-124.28536,17.0,179.2,181.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:22:06,46.73833,-124.28543,17.1,179.9,181.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:28:23,46.70844,-124.28466,16.9,177.9,180.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
357247000,2017-01-01T00:29:24,46.70390,-124.28454,16.7,179.9,180.0,GRAND CHOICE,IMO9169316,3FDW9,1004,under way using engine,179.16,32.26,9.1,70
367154100,2017-01-01T00:28:37,46.79946,-124.92793,7.3,5.0,356.0,,,,,undefined,,,,
368206000,2017-01-01T00:22:55,42.04662,-124.26685,0.1,-146.8,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30
