,Unnamed: 0,Unnamed: 0.1,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,DIST,MaxAmp
40,76304,76304,367740790,2017-01-16T06:28:35,46.81406,-125.00392,5.5,160.0,158.0,,,,,under way using engine,,,,,4.537748247834798,38426.0
41,76307,76307,367740790,2017-01-16T06:30:45,46.81091,-125.00216,5.7,161.3,159.0,,,,,under way using engine,,,,,4.8210381258797375,39381.0
42,76338,76338,367740790,2017-01-16T06:33:04,46.80758,-125.0003,5.7,160.1,158.0,,,,,under way using engine,,,,,5.13334252677707,39381.0
43,76344,76344,367740790,2017-01-16T06:35:13,46.80448,-124.99857,5.3,162.7,158.0,,,,,under way using engine,,,,,5.433981754994272,38044.0
44,76360,76360,367740790,2017-01-16T06:36:24,46.80279,-124.9976,5.5,161.7,158.0,,,,,under way using engine,,,,,5.600891626880534,38044.0
46,76368,76368,367740790,2017-01-16T06:38:34,46.79971,-124.99582,5.6,157.1,158.0,,,,,under way using engine,,,,,5.910542347630237,38929.0
59,76439,76439,367740790,2017-01-16T05:50:03,46.87126,-125.01818999999999,5.6,184.8,181.0,,,,,under way using engine,,,,,3.4878682391160445,38044.0
65,76465,76465,367740790,2017-01-16T05:56:34,46.86123,-125.01876000000001,5.6,180.4,181.0,,,,,under way using engine,,,,,2.9785613556089663,
69,76491,76491,367740790,2017-01-16T06:02:34,46.852,-125.01935,5.5,179.4,173.0,,,,,under way using engine,,,,,2.8411562233529413,
73,76525,76525,367740790,2017-01-16T06:12:03,46.83781,-125.01605,5.2,166.8,163.0,,,,,under way using engine,,,,,3.0334371118351138,
84,76597,76597,367740790,2017-01-16T06:27:34,46.81552,-125.00473999999998,5.5,160.3,159.0,,,,,under way using engine,,,,,4.411220588344187,
87,76607,76607,367740790,2017-01-16T06:29:44,46.81235,-125.00296000000002,5.6,159.6,158.0,,,,,under way using engine,,,,,4.6898175795500165,
89,76614,76614,367740790,2017-01-16T06:32:02,46.80901,-125.0011,5.6,160.1,159.0,,,,,under way using engine,,,,,4.997795323181697,
91,76632,76632,367740790,2017-01-16T06:34:12,46.80591,-124.99936000000001,5.6,157.3,159.0,,,,,under way using engine,,,,,5.294071864180717,
95,76660,76660,367740790,2017-01-16T06:37:26,46.80137,-124.99678,5.4,156.9,159.0,,,,,under way using engine,,,,,5.7428010178806375,
254,169694,169694,367740790,2017-01-16T05:34:42,46.89488,-125.01648999999999,5.6,187.3,182.0,,,,,under way using engine,,,,,5.443000003116171,
255,169717,169717,367740790,2017-01-16T05:55:03,46.86357,-125.01863999999999,5.5,184.5,182.0,,,,,under way using engine,,,,,3.0696424883259854,
256,169722,169722,367740790,2017-01-16T06:03:42,46.85028,-125.01908999999999,5.6,166.7,173.0,,,,,under way using engine,,,,,2.8279025301901077,
294,1376258,1376258,367740790,2017-01-16T06:35:13,46.80448,-124.99857,5.3,162.7,158.0,,,,,under way using engine,,,,,5.433981754994272,
295,1376276,1376276,367740790,2017-01-16T06:36:24,46.80279,-124.9976,5.5,161.7,158.0,,,,,under way using engine,,,,,5.600891626880534,
297,1376284,1376284,367740790,2017-01-16T06:38:34,46.79971,-124.99582,5.6,157.1,158.0,,,,,under way using engine,,,,,5.910542347630237,
335,1376636,1376636,367740790,2017-01-16T06:34:12,46.80591,-124.99936000000001,5.6,157.3,159.0,,,,,under way using engine,,,,,5.294071864180717,
339,1376675,1376675,367740790,2017-01-16T06:37:26,46.80137,-124.99678,5.4,156.9,159.0,,,,,under way using engine,,,,,5.7428010178806375,
